algoritmo,tipoVetor,n,comparacoes,trocas,tempoMs
Bolha,A,1000,499500,0,1.953733
Bolha Otimizado,A,1000,999,0,0.003967
Insercao,A,1000,999,999,0.005267
Selecao,A,1000,499500,0,5.063267
Bolha,B,1000,499500,499500,1.088867
Bolha Otimizado,B,1000,499500,499500,2.786767
Insercao,B,1000,499500,500499,5.282700
Selecao,B,1000,499500,500,0.778667
Bolha,C,1000,499500,245243,1.182000
Bolha Otimizado,C,1000,498510,245243,1.234367
Insercao,C,1000,246234,246242,0.150167
Selecao,C,1000,499500,991,0.510700
Bolha,A,5000,12497500,0,8.290533
Bolha Otimizado,A,5000,4999,0,0.005167
Insercao,A,5000,4999,4999,0.010067
Selecao,A,5000,12497500,0,8.545767
Bolha,B,5000,12497500,12497480,27.707567
Bolha Otimizado,B,5000,12497500,12497480,32.983067
Insercao,B,5000,12497500,12502479,5.048300
Selecao,B,5000,12497500,2510,11.378200
Bolha,C,5000,12497500,6246395,20.236133
Bolha Otimizado,C,5000,12497269,6246395,33.263900
Insercao,C,5000,6251392,6251394,2.477633
Selecao,C,5000,12497500,4991,8.715000
Bolha,A,10000,49995000,0,29.929067
Bolha Otimizado,A,10000,9999,0,0.136933
Insercao,A,10000,9999,9999,0.014667
Selecao,A,10000,49995000,0,32.544900
Bolha,B,10000,49995000,49994961,111.056700
Bolha Otimizado,B,10000,49995000,49994961,106.182833
Insercao,B,10000,49994999,50004960,19.896467
Selecao,B,10000,49995000,5023,43.365633
Bolha,C,10000,49995000,24998786,121.096900
Bolha Otimizado,C,10000,49990629,24998786,110.845400
Insercao,C,10000,25008780,25008785,10.865400
Selecao,C,10000,49995000,9989,31.860367
Bolha,A,15000,112492500,0,109.965500
Bolha Otimizado,A,15000,14999,0,0.007867
Insercao,A,15000,14999,14999,0.024367
Selecao,A,15000,112492500,0,71.753500
Bolha,B,15000,112492500,112492385,357.665900
Bolha Otimizado,B,15000,112492500,112492385,215.676833
Insercao,B,15000,112492499,112507384,31.309333
Selecao,B,15000,112492500,7558,65.949533
Bolha,C,15000,112492500,56162920,211.410067
Bolha Otimizado,C,15000,112487349,56162920,209.603133
Insercao,C,15000,56177914,56177919,13.347600
Selecao,C,15000,112492500,14993,40.710633
Bolha,A,20000,199990000,0,61.410967
Bolha Otimizado,A,20000,19999,0,0.006233
Insercao,A,20000,19999,19999,0.017400
Selecao,A,20000,199990000,0,77.328233
Bolha,B,20000,199990000,199989782,270.680667
Bolha Otimizado,B,20000,199990000,199989782,256.153133
Insercao,B,20000,199990000,200009781,53.727600
Selecao,B,20000,199990000,10105,106.224900
Bolha,C,20000,199990000,99975550,419.574833
Bolha Otimizado,C,20000,199966129,99975550,406.274200
Insercao,C,20000,99995533,99995549,24.567867
Selecao,C,20000,199990000,19990,74.092733
Bolha,A,25000,312487500,0,97.192667
Bolha Otimizado,A,25000,24999,0,0.008467
Insercao,A,25000,24999,24999,0.022367
Selecao,A,25000,312487500,0,121.524767
Bolha,B,25000,312487500,312487191,424.280433
Bolha Otimizado,B,25000,312487500,312487191,401.617500
Insercao,B,25000,312487498,312512190,76.187633
Selecao,B,25000,312487500,12653,162.681633
Bolha,C,25000,312487500,156418516,683.845100
Bolha Otimizado,C,25000,312471747,156418516,684.925600
Insercao,C,25000,156443513,156443515,38.252533
Selecao,C,25000,312487500,24987,113.380933
Bolha,A,30000,449985000,0,149.636533
Bolha Otimizado,A,30000,29999,0,0.009433
Insercao,A,30000,29999,29999,0.026333
Selecao,A,30000,449985000,0,192.089433
Bolha,B,30000,449985000,449984565,668.002300
Bolha Otimizado,B,30000,449985000,449984565,612.199600
Insercao,B,30000,449984996,450014564,116.527567
Selecao,B,30000,449985000,15216,250.216967
Bolha,C,30000,449985000,225242973,1047.896567
Bolha Otimizado,C,30000,449968710,225242973,983.328867
Insercao,C,30000,225272962,225272972,59.923167
Selecao,C,30000,449985000,29992,181.406633
